Student ID,Major,Standing,Grade,Prerequisites?,Letters
101,Computer Science,Junior,82,Y,B
105,Economics,Sophomore,95,Y,A
107,Computer Science,Junior,84,N,B
217,Social Science,Freshman,83,N,B
218,Computer Science,Senior,76,N,C
1005,Biology,Freshman,92,Y,A
1702,Chemistry,Junior,93,Y,A
1802,Physics,Senior,86,Y,B
2001,Medieval History,Freshman,68,N,D
4001,Art,Senior,74,N,C
501,Social Science,Senior,89,N,B
2449,Physics,Junior,87,Y,B
9100,Biology,Freshman,92,Y,A
9170,Chemistry,Junior,93,Y,A
9501,Social Science,Senior,89,N,B
9244,Informatics,Junior,87,Y,B
9180,Chemistry,Senior,86,Y,B
9101,Computer Science,Junior,65,Y,B
9105,Economics,Sophomore,95,Y,A
9107,Computer Science,Junior,84,N,B
9400,Informatics,Senior,74,N,C
9217,Gender Studies,Freshman,83,N,B
9218,Economics,Senior,76,N,C
9200,Chemistry,Freshman,68,N,D
